CustomerID,Gender,Age,Annual Income,Spending Score
1,Male,24,112,57
2,Male,49,58,30
3,Female,55,36,26
4,Female,58,115,50
5,Female,38,90,50
6,Male,66,116,72
7,Male,54,70,70
8,Male,21,33,94
9,Male,63,147,88
10,Male,30,86,62
11,Female,28,36,27
12,Female,18,144,16
13,Male,38,117,19
14,Female,66,56,43
15,Female,54,127,89
16,Male,66,106,83
17,Female,44,59,38
18,Female,50,34,39
19,Female,43,35,7
20,Male,19,19,78
21,Female,23,127,58
22,Female,48,82,20
23,Male,70,22,93
24,Male,19,108,76
25,Female,23,106,11
26,Female,24,21,42
27,Male,56,34,52
28,Male,24,91,53
29,Female,34,39,35
30,Male,32,67,33
31,Male,50,140,40
32,Male,29,77,43
33,Female,44,110,20
34,Male,61,76,17
35,Female,27,75,34
36,Female,29,25,20
37,Female,39,91,82
38,Male,39,132,77
39,Male,67,21,29
40,Female,58,107,27
41,Female,37,79,12
42,Female,38,109,39
43,Male,19,55,17
44,Male,62,122,83
45,Female,44,73,47
46,Female,39,120,22
47,Male,58,133,53
48,Male,55,139,46
49,Male,32,55,14
50,Female,62,135,13
51,Female,62,95,59
52,Female,70,122,42
53,Male,20,86,40
54,Male,33,55,94
55,Male,23,126,32
56,Female,26,104,94
57,Female,53,52,95
58,Male,51,125,67
59,Female,25,40,1
60,Male,33,75,83
61,Female,18,92,47
62,Female,39,48,5
63,Male,32,122,80
64,Female,20,83,80
65,Female,69,19,47
66,Male,49,32,87
67,Female,28,47,43
68,Male,45,56,96
69,Male,36,119,38
70,Female,58,76,10
71,Male,43,64,70
72,Female,50,68,53
73,Female,44,82,47
74,Male,35,102,50
75,Female,63,85,99
76,Female,18,73,38
77,Female,51,90,57
78,Female,34,92,57
79,Male,42,30,62
80,Male,64,93,44
81,Male,34,18,38
82,Female,40,125,70
83,Male,42,98,7
84,Male,55,131,58
85,Female,29,24,41
86,Male,55,85,37
87,Male,66,89,93
88,Male,52,138,33
89,Female,60,55,20
90,Male,22,69,97
91,Male,19,77,53
92,Male,22,19,58
93,Male,62,79,50
94,Female,59,92,18
95,Female,22,138,69
96,Male,69,108,47
97,Female,62,83,14
98,Female,57,133,13
99,Male,42,27,2
100,Female,69,51,15
101,Female,54,101,56
102,Female,53,125,26
103,Female,18,84,16
104,Male,20,85,55
105,Male,43,38,81
106,Male,55,124,99
107,Female,53,118,94
108,Female,68,133,89
109,Female,54,64,32
110,Male,20,125,53
111,Female,50,54,82
112,Male,51,128,93
113,Male,62,145,89
114,Male,65,49,82
115,Female,46,140,34
116,Male,68,88,33
117,Male,37,122,45
118,Female,39,48,63
119,Female,58,139,87
120,Female,60,40,55
121,Male,37,146,15
122,Female,62,15,93
123,Female,31,30,3
124,Male,26,38,53
125,Male,65,108,59
126,Female,20,92,70
127,Female,32,66,72
128,Male,37,92,86
129,Female,48,122,90
130,Female,20,92,38
131,Female,52,100,43
132,Female,61,137,28
133,Female,29,135,55
134,Female,54,116,62
135,Female,43,100,50
136,Male,22,36,42
137,Male,40,90,71
138,Male,45,126,96
139,Male,46,122,37
140,Male,52,25,80
141,Female,48,43,4
142,Female,60,143,3
143,Female,20,111,78
144,Female,47,113,33
145,Female,53,124,96
146,Male,69,107,85
147,Female,57,86,9
148,Male,63,80,28
149,Male,50,142,55
150,Male,61,104,89
151,Male,67,40,34
152,Male,59,39,64
153,Female,62,27,84
154,Male,49,126,28
155,Male,29,55,64
156,Female,27,145,49
157,Female,19,76,66
158,Male,61,92,21
159,Female,27,111,22
160,Female,50,20,1
161,Male,54,52,13
162,Male,21,19,40
163,Female,54,88,92
164,Female,48,147,39
165,Female,19,65,75
166,Female,67,40,25
167,Female,67,79,61
168,Female,32,88,83
169,Female,51,68,8
170,Female,22,134,62
171,Female,60,30,35
172,Female,30,88,57
173,Female,45,94,53
174,Male,50,77,32
175,Male,20,50,78
176,Female,39,105,41
177,Male,51,73,58
178,Female,18,68,66
179,Female,62,86,20
180,Female,60,50,63
181,Male,48,27,30
182,Female,21,93,18
183,Female,47,148,23
184,Female,23,91,98
185,Male,56,143,79
186,Male,36,118,40
187,Male,50,115,92
188,Female,18,126,17
189,Male,43,54,4
190,Female,40,31,27
191,Female,36,127,85
192,Female,28,88,91
193,Female,20,119,41
194,Female,54,35,17
195,Female,43,129,43
196,Female,44,121,15
197,Female,20,78,94
198,Male,67,88,15
199,Male,41,38,84
200,Female,27,119,43
201,Female,30,133,82
202,Female,68,93,59
203,Female,58,28,55
204,Female,54,80,13
205,Female,43,57,98
206,Male,47,80,27
207,Female,56,74,99
208,Male,40,31,91
209,Male,61,82,47
210,Male,48,33,67
211,Female,44,61,29
212,Male,24,15,10
213,Female,55,19,1
214,Male,40,82,31
215,Male,34,33,71
216,Female,62,62,21
217,Female,37,105,82
218,Male,67,93,58
219,Female,33,43,60
220,Male,50,55,6
221,Female,66,150,96
222,Female,69,132,53
223,Female,54,121,24
224,Female,51,130,46
225,Male,51,41,90
226,Male,30,128,90
227,Female,56,89,69
228,Female,22,54,80
229,Male,46,110,10
230,Male,41,91,83
231,Female,47,25,48
232,Female,42,34,33
233,Female,65,96,58
234,Female,68,113,24
235,Male,56,31,11
236,Male,36,123,14
237,Female,64,81,43
238,Female,48,59,24
239,Male,59,87,52
240,Female,53,134,11
241,Female,23,115,61
242,Female,58,136,82
243,Female,39,146,20
244,Male,32,126,90
245,Male,65,128,19
246,Male,27,112,40
247,Male,56,31,6
248,Male,25,48,78
249,Female,56,93,57
250,Male,34,90,16
251,Female,59,104,28
252,Female,62,81,89
